#W_0n	Temperature centrale	Temperature moyenne
5.1	1.11537e+07	7.3148e+06
5.11	1.1162e+07	7.3212e+06
5.12	1.11702e+07	7.32755e+06
5.13	1.11784e+07	7.33387e+06
5.14	1.11865e+07	7.34015e+06
5.15	1.11946e+07	7.34639e+06
5.16	1.12027e+07	7.35259e+06
5.17	1.12107e+07	7.35875e+06
5.18	1.12187e+07	7.36488e+06
5.19	1.12266e+07	7.37097e+06
5.2	1.12346e+07	7.37702e+06
5.21	1.12424e+07	7.38303e+06
5.22	1.12503e+07	7.389e+06
5.23	1.12581e+07	7.39493e+06
5.24	1.12658e+07	7.40083e+06
5.25	1.12736e+07	7.40669e+06
5.26	1.12812e+07	7.4125e+06
5.27	1.12889e+07	7.41828e+06
5.28	1.12965e+07	7.42403e+06
5.29	1.13041e+07	7.42973e+06
5.3	1.13116e+07	7.43539e+06
5.31	1.13191e+07	7.44101e+06
5.32	1.13266e+07	7.4466e+06
5.33	1.1334e+07	7.45214e+06
5.34	1.13414e+07	7.45765e+06
5.35	1.13488e+07	7.46312e+06
5.36	1.13561e+07	7.46855e+06
5.37	1.13634e+07	7.47393e+06
5.38	1.13706e+07	7.47928e+06
5.39	1.13778e+07	7.48459e+06
5.4	1.1385e+07	7.48986e+06
5.41	1.13922e+07	7.49509e+06
5.42	1.13993e+07	7.50028e+06
5.43	1.14063e+07	7.50543e+06
5.44	1.14134e+07	7.51055e+06
5.45	1.14204e+07	7.51562e+06
5.46	1.14273e+07	7.52065e+06
5.47	1.14343e+07	7.52564e+06
5.48	1.14412e+07	7.53059e+06
5.49	1.1448e+07	7.5355e+06
5.5	1.14549e+07	7.54037e+06
5.51	1.14617e+07	7.5452e+06
5.52	1.14684e+07	7.54999e+06
5.53	1.14752e+07	7.55474e+06
5.54	1.14819e+07	7.55945e+06
5.55	1.14885e+07	7.56412e+06
5.56	1.14951e+07	7.56874e+06
5.57	1.15017e+07	7.57333e+06
5.58	1.15083e+07	7.57788e+06
5.59	1.15148e+07	7.58238e+06
5.6	1.15213e+07	7.58685e+06
5.61	1.15278e+07	7.59127e+06
5.62	1.15342e+07	7.59565e+06
5.63	1.15406e+07	7.59999e+06
5.64	1.1547e+07	7.60429e+06
5.65	1.15533e+07	7.60855e+06
5.66	1.15596e+07	7.61276e+06
5.67	1.15659e+07	7.61694e+06
5.68	1.15721e+07	7.62107e+06
5.69	1.15783e+07	7.62517e+06
5.7	1.15845e+07	7.62922e+06
5.71	1.15906e+07	7.63322e+06
5.72	1.15967e+07	7.63719e+06
5.73	1.16028e+07	7.64112e+06
5.74	1.16088e+07	7.645e+06
5.75	1.16148e+07	7.64884e+06
5.76	1.16208e+07	7.65264e+06
5.77	1.16268e+07	7.65639e+06
5.78	1.16327e+07	7.66011e+06
5.79	1.16386e+07	7.66378e+06
5.8	1.16444e+07	7.66741e+06
5.81	1.16503e+07	7.67099e+06
5.82	1.16561e+07	7.67454e+06
5.83	1.16618e+07	7.67804e+06
5.84	1.16676e+07	7.6815e+06
5.85	1.16733e+07	7.68491e+06
5.86	1.1679e+07	7.68828e+06
5.87	1.16846e+07	7.69161e+06
5.88	1.16902e+07	7.6949e+06
5.89	1.16958e+07	7.69814e+06
5.9	1.17014e+07	7.70134e+06
5.91	1.17069e+07	7.7045e+06
5.92	1.17124e+07	7.70761e+06
5.93	1.17179e+07	7.71068e+06
5.94	1.17233e+07	7.7137e+06
5.95	1.17287e+07	7.71669e+06
5.96	1.17341e+07	7.71963e+06
5.97	1.17395e+07	7.72252e+06
5.98	1.17448e+07	7.72537e+06
5.99	1.17501e+07	7.72818e+06
6	1.17554e+07	7.73094e+06
6.01	1.17606e+07	7.73366e+06
6.02	1.17659e+07	7.73633e+06
6.03	1.1771e+07	7.73896e+06
6.04	1.17762e+07	7.74154e+06
6.05	1.17813e+07	7.74408e+06
6.06	1.17864e+07	7.74658e+06
6.07	1.17915e+07	7.74903e+06
6.08	1.17966e+07	7.75144e+06
6.09	1.18016e+07	7.7538e+06
6.1	1.18066e+07	7.75612e+06
6.11	1.18116e+07	7.75839e+06
6.12	1.18165e+07	7.76061e+06
6.13	1.18214e+07	7.76279e+06
6.14	1.18263e+07	7.76493e+06
6.15	1.18312e+07	7.76702e+06
6.16	1.1836e+07	7.76907e+06
6.17	1.18408e+07	7.77107e+06
6.18	1.18456e+07	7.77302e+06
6.19	1.18504e+07	7.77493e+06
6.2	1.18551e+07	7.77679e+06
6.21	1.18598e+07	7.77861e+06
6.22	1.18645e+07	7.78038e+06
6.23	1.18691e+07	7.7821e+06
6.24	1.18738e+07	7.78378e+06
6.25	1.18784e+07	7.78541e+06
6.26	1.1883e+07	7.787e+06
6.27	1.18875e+07	7.78854e+06
6.28	1.1892e+07	7.79003e+06
6.29	1.18965e+07	7.79148e+06
6.3	1.1901e+07	7.79288e+06
6.31	1.19055e+07	7.79423e+06
6.32	1.19099e+07	7.79554e+06
6.33	1.19143e+07	7.7968e+06
6.34	1.19187e+07	7.79801e+06
6.35	1.1923e+07	7.79918e+06
6.36	1.19274e+07	7.8003e+06
6.37	1.19317e+07	7.80137e+06
6.38	1.1936e+07	7.8024e+06
6.39	1.19402e+07	7.80337e+06
6.4	1.19445e+07	7.8043e+06
6.41	1.19487e+07	7.80519e+06
6.42	1.19529e+07	7.80602e+06
6.43	1.1957e+07	7.80681e+06
6.44	1.19612e+07	7.80755e+06
6.45	1.19653e+07	7.80824e+06
6.46	1.19694e+07	7.80888e+06
6.47	1.19735e+07	7.80948e+06
6.48	1.19775e+07	7.81003e+06
6.49	1.19816e+07	7.81053e+06
6.5	1.19856e+07	7.81098e+06
6.51	1.19895e+07	7.81138e+06
6.52	1.19935e+07	7.81174e+06
6.53	1.19974e+07	7.81205e+06
6.54	1.20014e+07	7.81231e+06
6.55	1.20053e+07	7.81252e+06
6.56	1.20091e+07	7.81268e+06
6.57	1.2013e+07	7.81279e+06
6.58	1.20168e+07	7.81286e+06
6.59	1.20206e+07	7.81288e+06
6.6	1.20244e+07	7.81284e+06
6.61	1.20282e+07	7.81276e+06
6.62	1.20319e+07	7.81263e+06
6.63	1.20356e+07	7.81245e+06
6.64	1.20393e+07	7.81223e+06
6.65	1.2043e+07	7.81195e+06
6.66	1.20466e+07	7.81162e+06
6.67	1.20503e+07	7.81125e+06
6.68	1.20539e+07	7.81082e+06
6.69	1.20575e+07	7.81035e+06
6.7	1.20611e+07	7.80983e+06
6.71	1.20646e+07	7.80926e+06
6.72	1.20682e+07	7.80863e+06
6.73	1.20717e+07	7.80796e+06
6.74	1.20752e+07	7.80724e+06
6.75	1.20786e+07	7.80647e+06
6.76	1.20821e+07	7.80566e+06
